endTime,artistName,trackName,msPlayed
2024-08-04 00:03,Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],179188
2024-08-04 00:03,Fred again..,Danielle (smile on my face),952
2024-08-04 00:04,Tame Impala,Eventually,1602
2024-08-04 00:04,Joey Bada$$,Shine,1160
2024-08-04 00:04,The Naked And Famous,Young Blood,952
2024-08-04 00:04,Outkast,Ms. Jackson,65898
2024-08-04 00:06,Mac DeMarco,Blue Boy,126223
2024-08-04 00:09,The Killers,When You Were Young,164895
2024-08-04 00:09,Travis Scott,Sky Fall,1137
2024-08-04 00:10,Chance the Rapper,Good Ass Intro,96386
2024-08-04 00:11,Freddie Gibbs,"Piñata (feat. Domo Genesis, G-Wiz, Casey Veggies, Sulaiman, Meechy Darko, Mac Miller)",5688
2024-08-04 00:12,Childish Gambino,IV. Sweatpants,71958
2024-08-04 00:17,What So Not,High You Are (Branchez Remix),835
2024-08-04 00:17,The Rah Band,Messages from the Stars,1300
2024-08-04 00:17,Kanye West,Ghost Town,296816
2024-08-04 00:17,Kid Cudi,Baptized In Fire,1277
2024-08-04 00:17,Big Sean,Outro,1439
2024-08-04 00:17,Rihanna,Love On The Brain,1323
2024-08-04 00:17,Isaiah Rashad,Free Lunch,789
2024-08-04 00:17,Vacations,Next Exit,998
2024-08-04 00:17,Logic,YSIV,409
2024-08-04 00:22,Childish Gambino,Summertime Magic,213600
2024-08-04 00:34,Baby Keem,family ties (with Kendrick Lamar),147388
2024-08-04 00:35,Travis Scott,Antidote,95759
2024-08-04 00:35,Tears For Fears,Head Over Heels,1741
2024-08-04 00:35,M83,Solitude - Felsmann + Tiley Reinterpretation,3691
2024-08-04 00:37,¥$,BURN,111458
2024-08-04 00:37,Michael Jackson,Don't Stop 'Til You Get Enough,1695
2024-08-04 00:37,Obskür,Bayside,1625
2024-08-04 00:37,Michael Jackson,Human Nature,1462
2024-08-04 00:37,Travis Scott,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),2484
2024-08-04 00:37,Lil Uzi Vert,Just Wanna Rock,1811
2024-08-04 00:37,ScHoolboy Q,Los Awesome,2771
2024-08-04 00:40,Simple Minds,Don't You (Forget About Me),1648
2024-08-04 00:40,sagun,I'll Keep You Safe,1950
2024-08-04 00:40,Kanye West,Devil In A New Dress,136441
2024-08-04 00:40,Flume,Highest Building (feat. Oklou),2786
2024-08-04 00:42,Trippie Redd,Love Scars,122345
2024-08-04 00:43,Frank Ocean,Swim Good,67361
2024-08-04 00:44,Kid Cudi,Rockstar Knights (with Trippie Redd),1602
2024-08-04 00:44,Zedd,Clarity,1486
2024-08-04 00:44,Zeds Dead,Lights Go Down,2670
2024-08-04 00:44,Kanye West,I Am A God,2229
2024-08-04 00:44,Arctic Monkeys,Do I Wanna Know?,2368
2024-08-04 00:44,Daniel Caesar,Get You (feat. Kali Uchis),2136
2024-08-04 00:44,Savant,Splinter - Original Mix,1787
2024-08-04 00:44,Anderson .Paak,Am I Wrong (feat. ScHoolboy Q),1253
2024-08-04 00:44,Childish Gambino,Redbone,1857
2024-08-04 00:45,Logic,Inception,1068
2024-08-04 00:45,Kendrick Lamar,i,12701
2024-08-04 00:45,Kanye West,Wouldn't Leave,1718
2024-08-04 00:46,Hudson Mohawke,Chimes,719
2024-08-04 00:46,Katy Perry,Birthday,1160
2024-08-04 00:46,Thundercat,No More Lies,96618
2024-08-04 00:46,Logic,AfricAryaN,719
2024-08-04 00:46,Kid Cudi,Up Up & Away,557
2024-08-04 00:46,John Summit,Where You Are,626
2024-08-04 00:46,Deftones,Rx Queen,789
2024-08-04 00:46,Tame Impala,Reality In Motion - GUM Remix,650
2024-08-04 00:46,Trippie Redd,Topanga,1021
2024-08-04 00:46,spüke,Emanate,975
2024-08-04 00:46,Frank Ocean,Novacane,975
2024-08-04 00:46,Kanye West,Famous,603
2024-08-04 00:46,Trippie Redd,UKA UKA,673
2024-08-04 00:46,Vacations,Relax,1137
2024-08-04 00:46,Joey Bada$$,Head High,835
2024-08-04 00:46,Chance the Rapper,Acid Rain,1369
2024-08-04 00:49,Men I Trust,Show Me How,719
2024-08-04 00:49,FISHER,Losing It,626
2024-08-04 00:49,Chance the Rapper,All Night (feat. Knox Fortune),650
2024-08-04 00:49,Modjo,Lady - Hear Me Tonight,164235
2024-08-04 00:50,MK,2AM (feat. Carla Monroe),580
2024-08-04 00:50,RÜFÜS DU SOL,Innerbloom,696
2024-08-04 00:50,Frank Ocean,Ivy,1532
2024-08-04 00:50,Freddie Gibbs,"Piñata (feat. Domo Genesis, G-Wiz, Casey Veggies, Sulaiman, Meechy Darko, Mac Miller)",2136
2024-08-04 00:50,Isaiah Rashad,Headshots (4r da Locals),650
2024-08-04 00:50,Miami Horror,Love Like Mine (feat. Cleopold),650
2024-08-04 00:50,DONT BLINK,ACID HOUSE,1718
2024-08-04 00:54,Khruangbin,Texas Sun,252811
2024-08-04 00:55,Kendrick Lamar,The Blacker The Berry,94546
2024-08-04 00:55,Shaun Dean,Shut You Down,4202
2024-08-04 00:56,Zeds Dead,Lights Go Down,789
2024-08-04 00:56,AC Slater,The Don,1253
2024-08-04 00:56,Mau P,Dress Code,1253
2024-08-04 00:56,Klaus Veen,Poison,33065
2024-08-04 00:56,Chris Lorenzo,California Dreamin' (feat. High Jinx),812
2024-08-04 00:56,FISHER,Ya Kidding,23
2024-08-04 00:56,Bassboy,Thru Your Mind,835
2024-08-04 00:56,Josement,All Night Alone - Chris Lake Edit,1718
2024-08-04 00:56,Chris Lake,The Answer (featuring Arthur Baker & Victor Simonelli),859
2024-08-04 03:56,Interupt,Power,1346
2024-08-04 03:56,FISHER,Atmosphere,206592
2024-08-04 03:56,Biscits,Your Body,1764
2024-08-04 03:56,The Sponges,Space Funk '75,1184
2024-08-04 03:56,Example,All Night,1880
2024-08-04 03:56,Ship Wrek,Need It,1532
2024-08-04 03:56,Anti Up,The Weekend,1741
2024-08-04 03:56,Zero,Behind the Scenes (feat. Jess Spink),1555
2024-08-04 03:56,Jay Pryor,All This,1369
2024-08-04 03:57,FISHER,Ya Didn't,2020
2024-08-04 03:57,Jax Jones,Feels,1787
2024-08-04 03:57,AC Slater,Fly Kicks - Wax Motif Remix,1880
2024-08-04 03:57,DONT BLINK,VIBRATION,1323
2024-08-04 03:57,Noizu,Moon Groove,1695
2024-08-04 03:57,Chris Lorenzo,Hallucinogen,36432
2024-08-04 03:57,Chris Lorenzo,Pump (AC Slater Remix),1811
2024-08-04 03:57,FineArt,With U,1114
2024-08-04 03:57,belac,All the Way,2995
2024-08-04 03:57,John Summit,Shiver,1323
2024-08-04 03:58,Joshwa,Get Stupid,1602
2024-08-04 03:58,TS7,So High,1207
2024-08-04 03:58,Meraki,Need You,1950
2024-08-04 03:58,Noizu,Summer 91 (Looking Back),1555
2024-08-04 03:58,Truth x Lies,Think About It,1764
2024-08-04 03:58,DJ Hazard,Bricks Don't Roll,1184
2024-08-04 03:58,Peggy Gou,1+1=11 - Edit,1695
2024-08-04 03:58,Chris Lake,Free Your Body - Noizu Remix,1091
2024-08-04 03:58,Disclosure,When A Fire Starts To Burn,59559
2024-08-04 04:01,Odd Mob,Losing Control,998
2024-08-04 04:01,Endor,Pump It Up,2229
2024-08-04 04:01,Biscits,Talk To Me,1184
2024-08-04 04:01,Fred again..,Admit It (u dont want 2),3691
2024-08-04 04:01,Empire Of The Sun,We Are The People - southstar Remix,201851
2024-08-04 04:01,Wax Motif,Skank N Flex (w/ Scrufizzer),1137
2024-08-04 04:02,Riordan,Bring Me Down,54799
2024-08-04 04:03,AC Slater,The Don,1439
2024-08-04 04:03,The Sponges,Space Funk '75,1393
2024-08-04 04:03,Fred again..,leavemealone,626
2024-08-04 04:03,Klaus Veen,Poison,2484
2024-08-04 04:03,Tchami,Promesses (Radio Edit),1160
2024-08-04 04:03,FISHER,Crowd Control,1184
2024-08-04 04:03,Noizu,Push To Start (feat. No/Me),2229
2024-08-04 04:03,SUBSHIFT,Never Say Never,1369
2024-08-04 04:03,Proxy,Raven - Torren Foot & Airwolf Paradise Remix,51617
2024-08-04 04:03,FineArt,With U,1137
2024-08-04 04:04,Fred again..,places to be,975
2024-08-04 04:05,Fred again..,places to be,1509
2024-08-04 04:05,Fred again..,leavemealone,79296
2024-08-04 04:06,Dom Dolla,Take It,42887
2024-08-04 04:06,Jay Pryor,All This,1021
2024-08-04 04:07,Chris Lake,"Lies, Deception, And Fantasy",108692
2024-08-04 04:07,BICEP,Glue,1695
2024-08-04 04:07,Bassboy,Thru Your Mind,1393
2024-08-04 04:07,HODA,Kicks,1230
2024-08-04 04:07,Dombresky,Do You Remember,1021
2024-08-04 04:09,John Summit,Make Me Feel,67314
2024-08-04 04:09,Jax Jones,Feels,998
2024-08-04 04:09,James Hype,I Was Lovin' You (feat. Dots Per Inch & Ayak) - TS7 Remix,1253
2024-08-04 04:11,Marie Davidson,Work It - Soulwax Remix,140457
2024-08-04 04:11,Disclosure,You & Me - Flume Remix,2066
2024-08-04 04:11,Zero,Mother Nature,1904
2024-08-04 04:11,Valentino Khan,Pump,1160
2024-08-04 04:11,Friction,Your Love,2182
2024-08-04 04:11,FISHER,Crowd Control,1207
2024-08-04 04:11,Piero Pirupa,Bass Club,1509
2024-08-04 04:11,AC Slater,Fly Kicks - Wax Motif Remix,1648
2024-08-04 04:11,DONT BLINK,VIBRATION,2043
2024-08-04 04:11,MPH,Crash & Burn,1927
2024-08-04 04:11,Dombresky,In My Soul,2205
